sireID,damID,DMCg.UC,logFSY.UC,logFRY.UC,PA.UC,StC.UC
1,BR-21GS-C3-157-14,BR-21GS-C3-157-14,4.1002845042221,0.276231045601894,0.28069695760163,0.505642232236949,2.5780043969867
2,BR-21GS-C3-157-14,BR-21GS-C3-061-1,3.76211403593123,0.345090855402621,0.348316024576888,0.702945238333695,2.72323007842562
3,BR-21GS-C3-157-14,BR-21GS-C3-287-9,3.88111403418949,0.308844326882933,0.254283177609688,0.136794049308709,2.71123743755184
4,BR-21GS-C3-157-14,BR-21GS-C3-286-14,3.97370656210687,0.391564748634975,0.336316363675397,0.73209723672757,2.41307385757794
5,BR-21GS-C3-157-14,BR-21GS-C3-175-75,4.11914916592233,0.394051332732936,0.309432892789046,0.639768711446827,2.44745858676827
6,BR-21GS-C3-157-14,BR-21GS-C3-114-5,3.836029038147,0.297942354987107,0.221741108365739,0.79967931675998,2.77175836788014
7,BR-21GS-C3-157-14,BR-21GS-C3-104-63,3.8283931557331,0.372477026878849,0.42239222702091,0.603038562066812,2.39398706840273
8,BR-21GS-C3-157-14,BR-21GS-C3-162-13,4.0346313999097,0.325474337259054,0.402446539464333,0.791140305048804,2.48226391758136
9,BR-21GS-C3-157-14,BR-21GS-C3-103-5,3.6748952428279,0.30671282298651,0.336759183455754,0.726654537905,2.77089975904033
10,BR-21GS-C3-157-14,BR-21GS-C3-104-33,3.80879693704016,0.265110726443994,0.296630842999472,1.07821529739085,2.88839319815144
11,BR-21GS-C3-157-14,BR-21GS-C3-130-4,3.91482768861379,0.212161703293857,0.214940722076588,0.566856976717588,2.60552495875688
12,BR-21GS-C3-157-14,BR-21GS-C3-100-2,3.88433926522699,0.331421901267352,0.317918464991336,0.332477934135111,2.24156502750499
13,BR-21GS-C3-157-14,BR-21GS-C3-175-7,3.59540460030174,0.400406419226661,0.325263826737254,0.583529924611467,2.42611376043831
14,BR-21GS-C3-157-14,BR-21GS-C3-286-24,3.9063460425671,0.353362919406397,0.203430879913866,0.545350853584276,2.34774500867003
15,BR-21GS-C3-157-14,BR-21GS-C3-132-4,3.8123628690719,0.269390284151142,0.252194814813662,0.60161938792689,2.68335821758089
16,BR-21GS-C3-157-14,BR-21GS-C3-217-6,3.91289272663258,0.34847563746117,0.287251898298007,0.296956944253879,2.09574374646396
17,BR-21GS-C3-157-14,BR-21GS-C3-267-2,3.47849627737154,0.414704825081186,0.302420907978144,0.305780879176548,2.4394961860608
18,BR-21GS-C3-157-14,BR-21GS-C3-217-10,3.80126309669142,0.370530680516969,0.371500151210228,0.568019402513321,1.7722727562037
19,BR-21GS-C3-157-14,BR-21GS-C3-069-3,3.93324021365382,0.317515031125729,0.218831995414153,0.330087077375423,2.31733211208257
20,BR-21GS-C3-157-14,BR-21GS-C3-288-9,3.77636320436886,0.334809983132168,0.279610023025754,0.511816131679535,2.28193952784127
21,BR-21GS-C3-157-14,BR-21GS-C3-162-1,3.44758192766291,0.357603280372165,0.464816774088014,0.466694874100705,2.32772843236624
22,BR-21GS-C3-157-14,BR-21GS-C3-288-30,3.60773523123961,0.43263230571849,0.327797275622828,0.552206367758095,2.29721179077786
23,BR-21GS-C3-157-14,BR-21GS-C3-106-6,3.8842547830303,0.292447215387392,0.152431164915021,0.922368083357936,2.54011514344219
24,BR-21GS-C3-157-14,BR-21GS-C3-286-31,3.77802562809062,0.318829984274449,0.288916384992688,0.260206558126729,2.28659759373264
25,BR-21GS-C3-157-14,BR-21GS-C3-228-16,3.61841050431714,0.395381322355507,0.372110863770994,0.584118437255296,2.16151777910059
26,BR-21GS-C3-157-14,BR-21GS-C3-078-6,3.54219340388642,0.355272205541838,0.412414979904542,0.902881892813756,2.14772070076384
