GID,predOf,DMCg,logFSY,logFRY,PA,StC,Anthractnose,ManchaBranca,ManchaParda,QueimaFolhas
BRS-Amansa-Burro,GEBV,1.364479725,0.201394802,0.129935693,0.166112985,0.289527114,0,-0.073453995,0.018971341,0.003286992
BRS-Caipira,GEBV,1.808033934,0.359389687,0.418846444,-0.098612359,-0.564161774,0,0.024278714,0.085875691,0.01077277
BRS-Dourada,GEBV,-3.630332365,0.122563552,0.193219822,-0.940286987,-2.846720915,0,0.108065961,0.031810949,0.008462494
BRS-Formosa-Tetra,GEBV,-0.825563378,-0.184592014,0.167709859,-1.080292817,-0.593130735,0,0.024520268,0.00347217,-0.002144704
BRS-GCP001,GEBV,0.769593236,0.0758937,-0.107743431,-0.883423525,-0.49338535,0,-0.012150322,-0.145067526,-0.014023216
BRS-Gema-de-Ovo,GEBV,0.797660119,0.128021318,0.037197798,-0.183092647,-0.096554578,0,0.014419223,-0.076903392,-0.006467239
BRS-Guaira,GEBV,1.528556874,-0.313239609,-0.049299966,-0.040438704,-0.411346181,0,-0.018934986,-0.02208254,-0.004053738
BRS-Jari,GEBV,-4.98373157,-0.386225836,-0.117007766,0.387365045,-3.121961746,0,0.037345317,-0.016950535,0.002363283
BRS-Mulatinha,GEBV,1.111086142,0.364408232,0.407232845,-0.566442866,0.053154136,0,0.061482425,0.031167076,0.002447633
BRS-Poti-Branca,GEBV,-0.692020713,0.364200874,0.433851174,-1.265666796,-1.681492664,0,0.01941264,-0.023532764,-0.002887136
BRS-Rosada,GEBV,-1.388300143,-0.293672313,-0.005842569,0.054098106,0.623916285,0,0.057602469,0.042329594,0.002746303
BRS-Verdinha,GEBV,1.165788094,0.295434116,0.337243488,0.841311676,-0.021294084,0,0.070464571,-0.078633013,-0.006856193
Cacau-01-CC,GEBV,-2.220150301,-0.030633914,-0.268300243,0.198961951,-0.557713658,0,-0.023681973,-0.032087817,-0.001549219
Cacau-03-VNI,GEBV,-0.716135206,-0.217621972,0.054707856,-0.313782308,0.247294799,0,0.031355327,-0.04384318,-0.00307679
Cacau-AC,GEBV,-3.595631883,-0.179771839,-0.173851057,-0.765071141,-1.448204197,0,0.025853337,0.034685553,0.002535049
Cacau-amarela,GEBV,-1.78732311,-0.136739915,-0.245487198,0.13710385,-0.7313,0,0.038230728,0.034094483,0.005933337
Cacau-amarela-03-VNI,GEBV,-0.813688541,-0.227334533,-0.01719501,-0.203698977,-0.095118114,0,0.035567841,-0.0401477,-0.002923459
Cacau-branca,GEBV,-0.919672039,-0.201584138,0.084824528,-0.346272758,0.15671383,0,0.031069427,-0.046858176,-0.003414866
Cacau-branca(CCAufes),GEBV,0.970101362,0.206540117,-0.056081,-0.524484859,0.50752925,0,0.051074192,-0.059528451,-0.004678252
Cacau-comum-CC,GEBV,-0.839210155,-0.23474113,0.032006961,-0.262692841,0.245313538,0,0.022862545,-0.045144112,-0.003107383
